               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.023825,            0.015015,           0.0031928,             0.87077,             0.72508,              0.7948,             0.54343,            0.029089,            0.008494,           0.0028926,            0.005842,            0.005842,            0.005842
                 128,             0.02378,            0.014779,           0.0030652,             0.86181,             0.72172,             0.79842,             0.54868,            0.028453,           0.0084997,           0.0029248,            0.005809,            0.005809,            0.005809
                 129,            0.024208,            0.015141,           0.0027204,              0.8405,             0.71232,             0.78821,             0.54058,            0.028829,           0.0086407,           0.0032425,            0.005776,            0.005776,            0.005776
                 130,            0.023268,            0.015199,           0.0024356,              0.8883,             0.71883,             0.79457,             0.53746,            0.029404,           0.0087149,           0.0029099,            0.005743,            0.005743,            0.005743
                 131,            0.024161,            0.014736,           0.0025112,             0.88229,             0.73474,             0.79464,             0.54522,            0.029131,           0.0084161,           0.0038125,             0.00571,             0.00571,             0.00571
                 132,            0.023548,            0.014728,           0.0025456,             0.85467,             0.73875,              0.7995,             0.54939,            0.028783,           0.0082581,           0.0030827,            0.005677,            0.005677,            0.005677
                 133,            0.023383,            0.014338,           0.0028479,             0.84048,               0.743,             0.79343,             0.54498,             0.02979,           0.0085234,           0.0039992,            0.005644,            0.005644,            0.005644
                 134,            0.024546,            0.014684,           0.0031432,             0.83592,             0.75133,             0.79991,             0.55036,            0.029309,           0.0086271,            0.003278,            0.005611,            0.005611,            0.005611
                 135,            0.023288,            0.014901,           0.0024153,              0.8428,             0.74655,             0.79728,              0.5496,            0.029138,           0.0083706,           0.0024252,            0.005578,            0.005578,            0.005578
                 136,            0.023383,            0.014687,           0.0022023,             0.81907,             0.75382,             0.78921,              0.5497,            0.029373,            0.008419,            0.002663,            0.005545,            0.005545,            0.005545
                 137,            0.022966,            0.014274,           0.0020377,              0.8891,             0.70907,             0.79434,              0.5523,            0.029261,           0.0085672,           0.0027054,            0.005512,            0.005512,            0.005512
                 138,            0.023994,            0.014474,           0.0025073,             0.86993,             0.73358,              0.7978,             0.55607,            0.029363,           0.0083608,           0.0028422,            0.005479,            0.005479,            0.005479
                 139,            0.022899,            0.014464,           0.0024847,             0.88283,              0.7197,             0.80253,             0.55143,            0.028568,           0.0084162,           0.0021928,            0.005446,            0.005446,            0.005446
                 140,            0.023271,            0.014404,           0.0021273,              0.8523,             0.75262,             0.80224,             0.56168,            0.028857,           0.0085118,           0.0019187,            0.005413,            0.005413,            0.005413
                 141,            0.023176,            0.014314,           0.0026749,             0.87712,             0.74658,             0.80635,             0.56038,            0.028591,           0.0084771,           0.0026569,             0.00538,             0.00538,             0.00538
                 142,            0.022476,            0.013853,           0.0018841,             0.84147,             0.73581,             0.79387,             0.55078,            0.028491,           0.0087461,           0.0029746,            0.005347,            0.005347,            0.005347
                 143,            0.022484,            0.014506,           0.0022078,              0.8321,             0.74421,             0.79983,             0.55458,            0.029062,           0.0084611,           0.0032492,            0.005314,            0.005314,            0.005314
                 144,            0.022616,            0.014368,           0.0030366,             0.83633,             0.72653,             0.79463,             0.54981,            0.028643,           0.0085701,           0.0025089,            0.005281,            0.005281,            0.005281
                 145,            0.022956,            0.014385,           0.0024192,             0.87451,             0.73145,             0.80372,             0.55327,            0.028724,           0.0086263,           0.0024544,            0.005248,            0.005248,            0.005248
                 146,            0.022675,            0.014297,           0.0023056,              0.8628,             0.72687,             0.80031,             0.55518,            0.028521,           0.0085339,           0.0025315,            0.005215,            0.005215,            0.005215
                 147,            0.022967,            0.014545,           0.0024775,             0.84768,             0.73487,             0.79353,             0.55176,            0.028619,           0.0086562,           0.0022947,            0.005182,            0.005182,            0.005182
                 148,             0.02284,             0.01444,           0.0027742,              0.8594,             0.73618,             0.80143,             0.55444,            0.028888,           0.0085968,           0.0028228,            0.005149,            0.005149,            0.005149
                 149,             0.02232,            0.013876,           0.0025969,             0.84825,             0.73142,             0.79553,             0.55599,             0.02909,           0.0086159,            0.002511,            0.005116,            0.005116,            0.005116
                 150,            0.022835,            0.013926,           0.0025657,             0.84975,             0.73024,             0.79479,             0.55275,            0.029236,           0.0085839,           0.0029327,            0.005083,            0.005083,            0.005083
                 151,            0.023063,            0.014455,           0.0021027,             0.84767,             0.74166,             0.79198,             0.54923,            0.028779,           0.0086147,           0.0025799,             0.00505,             0.00505,             0.00505
                 152,            0.022272,            0.014399,           0.0028201,             0.83939,             0.73873,             0.80391,             0.55421,            0.028922,           0.0086479,            0.002453,            0.005017,            0.005017,            0.005017
                 153,             0.02281,            0.013923,           0.0022983,             0.85639,             0.72014,             0.79464,              0.5597,            0.029358,           0.0084439,           0.0028258,            0.004984,            0.004984,            0.004984
                 154,            0.021733,            0.014218,           0.0022129,             0.84736,             0.74681,             0.80092,             0.56069,            0.029383,           0.0084854,           0.0029897,            0.004951,            0.004951,            0.004951
                 155,            0.022475,            0.014334,            0.002535,             0.87979,             0.71802,             0.79915,             0.56273,            0.028818,           0.0084993,           0.0028319,            0.004918,            0.004918,            0.004918
                 156,             0.02248,            0.014332,           0.0025815,             0.88076,             0.73591,             0.80328,             0.56547,            0.028352,           0.0083878,           0.0027272,            0.004885,            0.004885,            0.004885
                 157,            0.022167,            0.014212,           0.0023467,             0.86406,             0.73528,             0.79794,               0.556,            0.027981,           0.0086147,           0.0026284,            0.004852,            0.004852,            0.004852
